id_arbitro,nome,pais,funcao
ARB1,Omar Al Ali,Emirados Arabes Unidos,Arbitro
ARB2,Ramon Abatti ,Brasil,Arbitro
ARB3,Ivan Barton,El Salvador,Arbitro
ARB4,Dahane Beida,Mauritania,Arbitro
ARB5,Juan Gabriel Benitez,Paraguai,Arbitro
ARB6,Espen Eskas,Noruega,Arbitro
ARB7,Alireza Faghani,Australia,Arbitro
ARB8,Salman Falahi,Catar,Arbitro
ARB9,Yael Falcon Perez,Argentina,Arbitro
ARB10,Drew Fischer,Canada,Arbitro
ARB11,Cristian Garay,Chile,Arbitro
ARB12,Mustapha Ghorbal,Argelia,Arbitro
ARB13,Mutaz Ibrahim,Libia,Arbitro
ARB14,Campbell-Kirk Kawana-Waugh,Nova Zelandia,Arbitro
ARB15,Istvan Kovacs,Romenia,Arbitro
ARB16,Francois Letexier,Franca,Arbitro
ARB17,Ning Ma,China,Arbitro
ARB18,Danny Makkelie,Holanda,Arbitro
ARB19,Szymon Marciniak,Polonia,Arbitro
ARB20,Said Martinez,Honduras,Arbitro
ARB21,Jean Jacques,Congo,Arbitro
ARB22,Glenn Nyyberg,Suecia,Arbitro
ARB23,Michael Oliver,Inglaterra,Arbitro
ARB24,Tori Penso,USA,Arbitro
ARB25,Cesar Ramos,Mexico,Arbitro
ARB26,Wilton Sampaio,Brasil,Arbitro
ARB27,Issa Sy,Senegal,Arbitro
ARB28,Ilgiz Tantashez,Uzbequistao,Arbitro
ARB29,Anthony Taylor,Inglaterra,Arbitro
ARB30,Gustavo Tejera,Uruguai,Arbitro
ARB31,Facundo Tello,Argentina,Arbitro
ARB32,Clement Turpin,Franca,Arbitro
ARB33,Jesus Valenzuela,Venezuela,Arbitro
ARB34,Slavko Vincic,Eslovenia,Arbitro
ARB35,Felix Zwayer ,Alemanha,Arbitro
ASS1,Ramzan Al Naemi,Catar,Assistentes
ASS2,Majid Al Sahmmari,Catar,Assistentes
ASS3,Rafael Alves,Brasil,Assistentes
ASS4,Lyes Arfa,Canada,Assistentes
ASS5,Nouha Bangoura,Senegal,Assistentes
ASS6,Micheal Barwegen,Canada,Assistentes
ASS7,Isaak Bashevkin,Noruega,Assistentes
ASS8,Ashley Beecham,Australia,Assistentes
ASS9,Mahbod Beigi,Suecia,Assistentes
ASS10,Juan Pablo Belatti,Argentina,Assistentes
ASS11,Gary Beswick,Inglaterra,Assistentes
ASS12,Marco Bisguerra,Mexico,Assistentes
ASS13,Bruno Boschilia,Brasil,Assistentes
ASS14,Stuart Burt,Inglaterra,Assistentes
ASS15,Djibril Camara,Senegal,Assistentes
ASS16,Eduardo Cardozo,Paraguai,Assistentes
ASS17,Gabriel Chade,Argentina,Assistentes
ASS18,Nicolas Danos,Franca,Assistentes
ASS19,Jan De Vries,Holanda,Assistentes
ASS20,Maximiliano Del Yesso,Argentina,Assistentes
ASS21,Christian Dietz,Alemanha,Assistentes
ASS22,Jan Erik Engan,Noruega,Assistentes
